person_id,event_id,role,year
mona_moreno,event_0,organizer,2025
eve_williams,event_0,organizer,2025
quinn_kumar,event_0,organizer,2025
diana_wang,event_0,organizer,2025
tara_fernandez,event_0,organizer,2025
ian_wilson,event_0,organizer,2025
ian_garcia,event_0,organizer,2025
diana_rodriguez_1,event_0,attendee,2025
alice_reyes,event_0,organizer,2025
julia_rodriguez,event_0,speaker,2025
uri_brown,event_0,organizer,2025
victor_wang,event_0,organizer,2025
tara_smith,event_0,organizer,2025
ruth_martin,event_0,organizer,2025
grace_thomas,event_0,organizer,2025
liam_thomas,event_0,attendee,2025
uri_gonzalez,event_0,speaker,2025
tara_santos,event_0,organizer,2025
noah_martin,event_0,organizer,2025
iris_perez,event_0,attendee,2025
julia_jackson,event_0,speaker,2025
ian_perez,event_0,speaker,2025
uma_jones,event_0,organizer,2025
dave_kim,event_0,organizer,2025
dave_hernandez,event_0,organizer,2025
hannah_johnson,event_0,speaker,2025
kevin_reyes,event_0,attendee,2025
ethan_park,event_0,organizer,2025
bella_lopez,event_0,organizer,2025
ethan_silva,event_0,attendee,2025
carol_santos,event_0,attendee,2025
quinn_reyes,event_0,organizer,2025
quinn_jones,event_0,attendee,2025
will_oh,event_0,organizer,2025
ethan_wilson,event_0,speaker,2025
ethan_davis,event_0,speaker,2025
alice_park,event_0,attendee,2025
frank_thomas,event_0,attendee,2025
henry_chen,event_0,speaker,2025
ruth_kumar,event_0,speaker,2025
noah_gomez,event_0,attendee,2025
dave_anderson,event_0,speaker,2025
diana_johnson,event_1,attendee,2025
pia_wilson,event_1,attendee,2025
bob_lopez,event_1,speaker,2025
liam_smith_1,event_1,speaker,2025
dave_singh,event_1,organizer,2025
tara_martin,event_1,organizer,2025
bob_gonzalez,event_1,organizer,2025
ian_gonzalez,event_1,speaker,2025
henry_gonzalez,event_1,organizer,2025
quinn_fernandez_1,event_1,organizer,2025
henry_kim,event_1,speaker,2025
olivia_kim,event_1,organizer,2025
julia_anderson,event_1,speaker,2025
yara_silva,event_1,attendee,2025
