person_id,company_id,role
kate_chen,company_29,Manager
neil_moore,company_29,Manager
maya_hernandez,company_42,Engineer
vera_thomas,company_29,Manager
diana_wang,company_43,Senior Engineer
pia_anderson,company_4,Intern
dave_anderson,company_22,Manager
uma_kim,company_40,Intern
eve_wilson,company_44,Manager
uri_lee,company_29,Manager
quinn_fernandez,company_12,Intern
quinn_santos,company_30,Engineer
quinn_rodriguez,company_15,Intern
will_moreno,company_36,Manager
will_oh,company_36,Manager
zoe_chen,company_44,Manager
iris_gomez,company_1,Intern
frank_brown,company_17,Engineer
jack_hernandez,company_36,Engineer
maya_jones,company_38,Intern
yara_santos,company_18,Senior Engineer
quinn_johnson,company_38,Manager
stefan_moreno,company_14,Senior Engineer
quinn_kumar,company_39,Manager
sam_oh,company_43,Senior Engineer
diana_johnson,company_40,Engineer
george_lopez,company_40,Engineer
grace_martin,company_19,Intern
maya_gonzalez,company_2,Manager
xavier_hernandez,company_46,Senior Engineer
hannah_johnson,company_5,Manager
uma_fernandez,company_20,Intern
henry_chen,company_11,Senior Engineer
paul_brown,company_8,Manager
kevin_garcia,company_33,Manager
vera_fernandez,company_10,Manager
ian_rodriguez,company_30,Manager
ruth_perez,company_47,Manager
kate_taylor,company_7,Intern
maya_oh,company_4,Senior Engineer
ian_gonzalez,company_48,Senior Engineer
zoe_chen_1,company_43,Intern
hannah_silva,company_35,Manager
paul_anderson,company_5,Intern
victor_smith,company_0,Manager
julia_anderson,company_34,Engineer
olivia_johnson,company_29,Manager
uri_brown,company_43,Manager
eve_williams,company_37,Intern
eve_gomez,company_40,Manager
rachel_fernandez,company_6,Senior Engineer
ian_rodriguez_1,company_30,Engineer
kevin_perez,company_39,Manager
ethan_park,company_39,Senior Engineer
grace_miller,company_41,Engineer
wendy_oh,company_40,Intern
diana_brown,company_44,Manager
dave_kim,company_41,Intern
grace_thomas,company_7,Senior Engineer
mona_moreno,company_2,Engineer
iris_oh,company_19,Intern
rachel_santos,company_7,Engineer
eve_silva,company_15,Senior Engineer
grace_brown,company_24,Intern
alice_garcia,company_23,Intern
kate_park,company_37,Senior Engineer
ethan_wilson,company_26,Engineer
dave_hernandez,company_31,Intern
alice_wang,company_17,Engineer
diana_jackson,company_44,Manager
tara_fernandez,company_13,Intern
mona_jackson,company_28,Senior Engineer
dave_moreno,company_23,Engineer
will_lee,company_43,Manager
dave_perez,company_34,Manager
hannah_hernandez,company_3,Intern
george_garcia,company_17,Senior Engineer
eve_jones,company_7,Intern
zoe_davis,company_5,Senior Engineer
paul_williams,company_41,Engineer
frank_park,company_3,Manager
kevin_reyes,company_15,Senior Engineer
quinn_wilson,company_36,Senior Engineer
paul_taylor,company_4,Senior Engineer
iris_martin,company_37,Senior Engineer
uma_jones,company_14,Manager
diana_miller,company_49,Senior Engineer
ian_wilson,company_38,Engineer
quinn_rodriguez_1,company_17,Senior Engineer
eve_thomas,company_8,Manager
sam_hernandez,company_11,Engineer
ian_martin,company_42,Engineer
quinn_reyes,company_8,Engineer
ruth_martin,company_22,Senior Engineer
iris_taylor,company_37,Manager
grace_martinez,company_1,Senior Engineer
sam_wilson,company_16,Engineer
neil_taylor,company_8,Intern
fiona_taylor,company_33,Engineer
frank_oh,company_47,Engineer
